Year,Team ID,Team Name,Games,Wins,Loses
1995,BOS,Boston Red Sox,144,86,58
1995,CAL,California Angels,145,78,67
1995,CHA,Chicago White Sox,145,68,76
1995,CHN,Chicago Cubs,144,73,71
1995,CIN,Cincinnati Reds,144,85,59
1995,CLE,Cleveland Indians,144,100,44
1995,COL,Colorado Rockies,144,77,67
1995,DET,Detroit Tigers,144,60,84
1995,FLO,Florida Marlins,143,67,76
1995,HOU,Houston Astros,144,76,68
1995,KCA,Kansas City Royals,144,70,74
1995,LAN,Los Angeles Dodgers,144,78,66
1995,MIN,Minnesota Twins,144,56,88
1995,ML4,Milwaukee Brewers,144,65,79
1995,MON,Montreal Expos,144,66,78
1995,NYA,New York Yankees,145,79,65
1995,NYN,New York Mets,144,69,75
1995,OAK,Oakland Athletics,144,67,77
1995,PHI,Philadelphia Phillies,144,69,75
1995,PIT,Pittsburgh Pirates,144,58,86
1995,SDN,San Diego Padres,144,70,74
1995,SEA,Seattle Mariners,145,79,66
1995,SFN,San Francisco Giants,144,67,77
1995,SLN,St. Louis Cardinals,143,62,81
1995,TEX,Texas Rangers,144,74,70
1995,TOR,Toronto Blue Jays,144,56,88
1996,ATL,Atlanta Braves,162,96,66
1996,BAL,Baltimore Orioles,163,88,74
1996,BOS,Boston Red Sox,162,85,77
1996,CAL,California Angels,161,70,91
1996,CHA,Chicago White Sox,162,85,77
1996,CHN,Chicago Cubs,162,76,86
1996,CIN,Cincinnati Reds,162,81,81
1996,CLE,Cleveland Indians,161,99,62
1996,COL,Colorado Rockies,162,83,79
1996,DET,Detroit Tigers,162,53,109
1996,FLO,Florida Marlins,162,80,82
1996,HOU,Houston Astros,162,82,80
1996,KCA,Kansas City Royals,161,75,86
1996,LAN,Los Angeles Dodgers,162,90,72
1996,MIN,Minnesota Twins,162,78,84
1996,ML4,Milwaukee Brewers,162,80,82
1996,MON,Montreal Expos,162,88,74
1996,NYA,New York Yankees,162,92,70
1996,NYN,New York Mets,162,71,91
1996,OAK,Oakland Athletics,162,78,84
1996,PHI,Philadelphia Phillies,162,67,95
1996,PIT,Pittsburgh Pirates,162,73,89
1996,SDN,San Diego Padres,162,91,71
1996,SEA,Seattle Mariners,161,85,76
1996,SFN,San Francisco Giants,162,68,94
1996,SLN,St. Louis Cardinals,162,88,74
1996,TEX,Texas Rangers,163,90,72
1996,TOR,Toronto Blue Jays,162,74,88
1997,ANA,Anaheim Angels,162,84,78
1997,ATL,Atlanta Braves,162,101,61
1997,BAL,Baltimore Orioles,162,98,64
1997,BOS,Boston Red Sox,162,78,84
1997,CHA,Chicago White Sox,161,80,81
1997,CHN,Chicago Cubs,162,68,94
1997,CIN,Cincinnati Reds,162,76,86
1997,CLE,Cleveland Indians,161,86,75
1997,COL,Colorado Rockies,162,83,79
1997,DET,Detroit Tigers,162,79,83
1997,FLO,Florida Marlins,162,92,70
1997,HOU,Houston Astros,162,84,78
1997,KCA,Kansas City Royals,161,67,94
1997,LAN,Los Angeles Dodgers,162,88,74
1997,MIN,Minnesota Twins,162,68,94
1997,ML4,Milwaukee Brewers,161,78,83
1997,MON,Montreal Expos,162,78,84
1997,NYA,New York Yankees,162,96,66
1997,NYN,New York Mets,162,88,74
1997,OAK,Oakland Athletics,162,65,97
1997,PHI,Philadelphia Phillies,162,68,94
1997,PIT,Pittsburgh Pirates,162,79,83
1997,SDN,San Diego Padres,162,76,86
1997,SEA,Seattle Mariners,162,90,72
1997,SFN,San Francisco Giants,162,90,72
1997,SLN,St. Louis Cardinals,162,73,89
1997,TEX,Texas Rangers,162,77,85
1997,TOR,Toronto Blue Jays,162,76,86
1998,ANA,Anaheim Angels,162,85,77
1998,ARI,Arizona Diamondbacks,162,65,97
1998,ATL,Atlanta Braves,162,106,56
1998,BAL,Baltimore Orioles,162,79,83
1998,BOS,Boston Red Sox,162,92,70
